project_name,_id,name,subject_id,golden_mouse,genotype,date_of_birth,sex,modality,session_date,age,session_time,column,volume
V1 Deep Dive,99cf38d5-a9ca-4331-ada4-a78e9e214a34,416296_2018-11-15_12-10-20_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-15,101,12:10:20.600320,2,3
V1 Deep Dive,5df4eea1-5858-4a6f-9064-3bfbcdb11caa,416296_2018-11-16_10-57-02_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-16,102,10:57:02.824560,1,1
V1 Deep Dive,c94adb42-505e-493d-ab84-a1f75dc06543,416296_2018-11-19_10-44-43_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-19,105,10:44:43.514810,3,3
V1 Deep Dive,9397897f-098f-4646-90fb-2c22bdffbfa7,416296_2018-11-19_12-17-21_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-19,105,12:17:21.748990,3,4
V1 Deep Dive,424b7240-eb32-40d5-acb4-3b43c50a55ae,416296_2018-11-29_10-32-33_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-29,115,10:32:33.934770,2,4
V1 Deep Dive,6295ab81-694e-4c43-afc7-f5af6527d08e,416296_2018-12-11_12-57-17_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-12-11,127,12:57:17.432770,1,5
V1 Deep Dive,caae7397-ef08-4ea8-804d-b21cbf179364,416296_2018-12-11_11-29-26_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-12-11,127,11:29:26.512350,1,4
V1 Deep Dive,a4b51df1-74c1-448e-907c-7c9d7e62bfae,416296_2018-12-04_12-17-47_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-12-04,120,12:17:47.000730,5,2
V1 Deep Dive,d680fa27-ff46-4273-8771-0a3e0812fc92,416296_2018-12-03_12-42-43_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-12-03,119,12:42:43.916490,4,4
V1 Deep Dive,844681cf-ed77-4d23-9fdd-9469bf880789,416296_2018-12-10_10-42-05_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-12-10,126,10:42:05.206960,1,2
